id	name	epithet	era	likesterr	uwnation	coastnation	cavenation	riverstart
5	Arcoscephale	Golden Era	1	0	0	0	0	0
6	Mekone	Brazen Giants	1	0	0	0	0	0
7	Pangaea	Age of Revelry	1	128	0	0	0	0
8	Ermor	New Faith	1	0	0	0	0	0
9	Sauromatia	Amazon Queens	1	0	0	0	0	0
10	Fomoria	The Cursed Ones	1	0	0	1	0	0
11	Tir na n'Og	Land of the Ever Young	1	0	0	0	0	0
12	Marverni	Time of Druids	1	0	0	0	0	0
13	Ulm	Enigma of Steel	1	128	0	0	0	0
14	Pyrène	Kingdom of the Bekrydes	1	0	0	0	3	0
15	Agartha	Pale Ones	1	0	0	0	2	1
16	Abysia	Children of Flame	1	64	0	0	1	0
17	Hinnom	Sons of the Fallen	1	64	0	0	0	0
18	Ubar	Kingdom of the Unseen	1	64	0	0	0	0
19	Ur	The First City	1	0	0	0	0	0
20	Kailasa	Rise of the Ape Kings	1	128	0	0	0	0
21	Lanka	Land of Demons	1	128	0	0	0	0
22	T'ien Ch'i	Spring and Autumn	1	0	0	0	0	0
23	Yomi	Oni Kings	1	8388624	0	0	0	0
24	Caelum	Eagle Kings	1	8388624	0	0	0	0
25	Mictlan	Reign of Blood	1	0	0	0	0	0
26	Xibalba	Vigil of the Sun	1	128	0	0	3	0
27	C'tis	Lizard Kings	1	32	0	0	0	1
28	Machaka	Lion Kings	1	0	0	0	0	0
29	Berytos	The Phoenix Empire	1	0	0	1	0	0
30	Vanheim	Age of Vanir	1	0	0	0	0	0
31	Helheim	Dusk and Death	1	0	0	0	0	0
32	Rus	Sons of Heaven	1	128	0	0	0	0
33	Niefelheim	Sons of Winter	1	0	0	0	0	0
34	Muspelheim	Sons of Fire	1	0	0	0	0	0
40	Pelagia	Pearl Kings	1	0	1	0	0	0
41	Oceania	Coming of the Capricorns	1	0	1	0	0	0
42	Therodos	Telkhine Spectre	1	0	1	0	0	0
43	Atlantis	Emergence of the Deep Ones	1	2048	1	0	0	0
44	R'lyeh	Time of Aboleths	1	2048	1	0	0	0
50	Arcoscephale	The Old Kingdom	2	0	0	0	0	0
51	Phlegra	Deformed Giants	2	0	0	0	0	0
52	Pangaea	Age of Bronze	2	128	0	0	0	0
53	Asphodel	Carrion Woods	2	128	0	0	0	0
54	Ermor	Ashen Empire	2	64	0	0	0	0
55	Sceleria	The Reformed Empire	2	0	0	0	0	0
56	Pythium	Emerald Empire	2	0	0	0	0	0
57	Man	Tower of Avalon	2	0	0	0	0	0
58	Eriu	Last of the Tuatha	2	0	0	0	0	0
59	Agartha	Golem Cult	2	0	0	0	2	0
60	Ulm	Forges of Ulm	2	0	0	0	0	0
61	Marignon	Fiery Justice	2	0	0	0	0	0
62	Pyrène	Time of the Akelarre	2	0	0	0	0	0
63	Abysia	Blood and Fire	2	64	0	0	1	0
64	Ashdod	Reign of the Anakim	2	0	0	0	0	0
65	Na'Ba	Queens of the Desert	2	64	0	0	0	0
66	Uruk	City States	2	0	0	0	0	0
67	Ind	Magnificent Kingdom of Exalted Virtue	2	0	0	0	0	0
68	Bandar Log	Land of the Apes	2	128	0	0	0	0
69	T'ien Ch'i	Imperial Bureaucracy	2	0	0	0	0	0
70	Shinuyama	Land of the Bakemono	2	8388736	0	0	0	0
71	Caelum	Reign of the Seraphim	2	8388624	0	0	0	0
72	Nazca	Kingdom of the Sun	2	8388688	0	0	0	0
73	Mictlan	Reign of the Lawgiver	2	0	0	0	0	0
74	Xibalba	Flooded Caves	2	128	0	0	1	1
75	C'tis	Miasma	2	32	0	0	0	1
76	Machaka	Reign of Sorcerors	2	0	0	0	0	0
77	Phaeacia	Isle of the Dark Ships	2	0	0	0	0	0
78	Vanheim	Arrival of Man	2	0	0	0	0	0
79	Vanarus	Land of the Chuds	2	0	0	0	0	0
80	Jotunheim	Iron Woods	2	0	0	0	0	0
81	Nidavangr	Bear, Wolf and Crow	2	0	0	0	0	0
